year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude
1916,323,Greece,Midpoint of coastline,23.1314,37.79
1916,395,Portugal,Centroid of ADM0,-8.56274,39.601
1916,396,Hungary-Romania Border,Midpoint of shared (national) border,21.6287,46.9048
1916,399,Between Atlantic Ocean and North Sea,Dividing Line,4,61.0283
1916,1726,"Cardiff, United Kingdom","Cardiff, United Kingdom",-3.17909,51.4816
1916,2205,"Zhengjiatun, Liaoning, China","Zhengjiatun, Liaoning, China",123.713,41.2889
1916,2310,"Veracruz, Mexico","Veracruz, Mexico",-96.1342,19.1738
1916,2648,"Corfu, Greece","Corfu, Greece",19.9217,39.6243
1917,197,"Vladivostok, Russia","Vladivostok, Russia",131.887,43.1198
1917,400,Brazil,Midpoint of coastline,-37.9329,-4.30799
1917,632,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136
1917,1142,"Harbin, China","Harbin, China",126.535,45.8038
1917,1175,Motagua River,Midpoint of river,-89.4986,15.0868
1917,1660,Sweden,Midpoint of coastline,17.7342,59.4494
1917,1724,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994
1918,1132,"Tehran, Iran","Tehran, Iran",51.389,35.6892
1918,1182,Chaco Boreal,Chaco Boreal,-60,-23
1918,1195,Honduras-Nicaragua Border,Midpoint of shared (subnational) border,-85.4934,14.082
1918,1257,"Bessarabia, Moldova","Bessarabia, Moldova",28.6959,48.0285
1918,1262,Albania,Centroid of ADM0,20.0684,41.1423
1918,1263,Romania-Yugoslavia Border,Midpoint of shared (national) border,21.3655,44.8442
1918,1477,Finland (Aland Islands [ADM1]),Centroid of ADM1,20.1648,60.2019
1918,1777,"Harbin, China","Harbin, China",126.535,45.8038
1918,2184,Mexico-United States Border,Midpoint of shared (national) border,-105.809,31.2332
1918,2363,"Yerevan, Armenia","Yerevan, Armenia",44.4991,40.1792
1918,2603,Belarus-Lithuania Border,Midpoint of shared (national) border,25.7994,54.2536
1918,2605,Estonia-Russia Border,Midpoint of shared (national) border,27.508,58.5314
1918,3345,Turkey (Rize [ADM1] and Trabzon [ADM1]),Centroid of > ADM1,40.259,40.853
1918,3346,Kaliningrad,Kaliningrad,20.4522,54.7104
1919,230,Turkey (Antalya [ADM1]),Centroid of ADM1,30.9203,36.7984
1919,1219,Poland-Russia Border,Midpoint of shared (national) border,23.4462,52.5394
1919,1265,Hungary,Centroid of ADM0,19.4134,47.1665
1919,1268,"Teschen, Poland","Teschen, Poland",18.6355,49.7498
1919,1269,Latvia,Centroid of ADM0,24.9294,56.8575
1919,1270,Turkey (Western [> ADM1]),Centroid of > ADM1,29.2699,39.0793
1919,1272,"Vilnius, Lithuania","Vilnius, Lithuania",25.2797,54.6872
1919,1723,Russia (Karelia [ADM1]),Centroid of ADM1,33.148,63.5415
1919,1810,"Fuzhou, China","Fuzhou, China",119.296,26.0745
1919,2185,Mexico-United States (Texas [ADM1]) Border,Midpoint of shared (subnational) border,-101.37,29.6701
1919,2604,Latvia-Russia Border,Midpoint of shared (national) border,27.7032,56.9124
1919,2700,Amur River,Midpoint of river,132.169,47.6919
1919,2701,Amur River,Midpoint of river,132.169,47.6919
1919,2702,Amur River,Midpoint of river,132.169,47.6919
1919,3134,Cilicia,Cilicia,36,37
1919,3340,"Ferrol, Spain","Ferrol, Spain",-8.21935,43.4896
1919,3599,Austria (Carinthia [ADM1]),Centroid of ADM1,13.915,46.7736
1920,186,"Warsaw, Poland","Warsaw, Poland",21.0122,52.2297
1920,211,France-Germany Border,Midpoint of shared (national) border,7.81941,49.0463
1920,327,"Istanbul, Turkey","Istanbul, Turkey",28.9784,41.0082
1920,510,"Vladivostok, Russia","Vladivostok, Russia",131.887,43.1198
1920,1133,Iranian Coastline (Caspian),Midpoint of coastline,51.6802,36.6202
1920,1184,Bolivia-Chile Border,Midpoint of shared (national) border,-68.7092,-20.3063
1920,1778,"Tirana, Albania","Tirana, Albania",19.8187,41.3275
1920,2040,El Salvador-Honduras Border,Midpoint of shared (national) border,-88.3707,13.8792
1920,2206,China (Jilin [ADM1]),Centroid of ADM1,126.194,43.6644
1920,2364,"Sevastopol, Ukraine","Sevastopol, Ukraine",33.5254,44.6166
1920,2722,Sakhalin Island,Sakhalin Island,142.951,50.691
1921,127,"Belgium, France, Germany Border",Point along shared noncontiguous border nearest midpoint of contiguous border including neighbors,6.79061,49.1655
1921,158,Costa Rica-Panama Border,Midpoint of shared (national) border,-82.7141,8.92902
1921,612,"Batum, Georgia","Batum, Georgia",41.6367,41.6168
1921,1233,Austria (Burgenland [ADM1]),Centroid of ADM1,16.5202,47.5415
1921,1235,Albania (Northern [> ADM1]),Centroid of > ADM1,19.9127,42.1004
1921,1273,"Upper Silesia, Poland","Upper Silesia, Poland",19.322,50.5717
1921,1665,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136
1921,1666,"Amapala, Honduras","Amapala, Honduras",-87.6519,13.2917
1921,2129,Pilcomayo River,Midpoint of river,-62.6244,-22.2771
1921,3257,"Ulaanbaatar, Mongolia","Ulaanbaatar, Mongolia",106.906,47.8864
1921,3259,Russia (Tuva [ADM1]),Centroid of ADM1,94.793,51.5914
1922,177,France-Germany Border,Midpoint of shared (national) border,7.81941,49.0463
1922,328,"Istanbul, Turkey","Istanbul, Turkey",28.9784,41.0082
1922,1168,Honduras-Nicaragua Border,Midpoint of shared (national) border,-85.4934,14.082
1922,1668,"Vladivostok, Russia","Vladivostok, Russia",131.887,43.1198
1922,1779,Afghanistan-Russia Border,Midpoint of shared (national) border,68.8599,37.3324
1922,3181,"Austria, Italy, Yugoslavia Border",Intersection of multiple borders,13.7187,46.5266
1922,3182,"Hungary, Romania, Yugoslavia Border",Intersection of multiple borders,20.261,46.1149
1923,55,"Corfu, Greece","Corfu, Greece",19.9217,39.6243
1923,133,"Memel, Lithuania","Memel, Lithuania",21.1443,55.7033
1923,241,Artic Ocean near Murmansk,"Murmansk, Russia",33.0827,68.9585
1923,1240,Bulgaria-Yugoslavia Border,Midpoint of shared (national) border,22.5318,42.8794
1923,1669,"Addis Ababa, Ethiopia","Addis Ababa, Ethiopia",38.7578,8.9806
1923,1780,"Encoro do Eume, Spain","Encoro do Eume, Spain",-7.99062,43.3764
1923,2130,Chaco Boreal,Chaco Boreal,-60,-23
1924,1736,Ionian Sea,Ionian Sea,37.7885,18.8076
1924,2131,Chaco Boreal,Chaco Boreal,-60,-23
1925,1241,Bulgaria-Greece Border,Midpoint of shared (national) border,24.8234,41.4042
1925,1670,"Tripoli, Libya","Tripoli, Libya",13.1913,32.8872
1925,1781,Urta Toghai Island,Urta Toghai Island,69.5014,37.4986
1925,2207,"Mukden, China","Mukden, China",123.431,41.8057
1925,3183,Greece-Turkey Border,Midpoint of shared (national) border,26.3871,41.2561
1926,151,"Bluefields, Nicaragua","Bluefields, Nicaragua",-83.7704,12.0111
1926,1671,France-Italy Border,Midpoint of shared (national) border,6.94729,44.8695
1926,3184,Bulgaria-Romania Border,Midpoint of shared (national) border,25.4793,43.6402
1926,3260,Manchuria,Manchuria,125.82,46.54
1926,3362,"Radeke, Croatia","Radeke, Croatia",15.6883,44.1108
1927,145,"Shanghai, China","Shanghai, China",121.474,31.2304
1927,1025,Chaco Boreal,Chaco Boreal,-60,-23
1927,1169,Guatemala-Honduras Border,Midpoint of shared (national) border,-88.9898,15.1322
1927,1674,Manchuria,Manchuria,125.82,46.54
1927,2132,Chaco Boreal,Chaco Boreal,-60,-23
1927,2209,"Wuhan, China","Wuhan, China",114.306,30.5928
1928,40,China (Shandong [ADM1]),Centroid of ADM1,118.151,36.352
1928,1026,Chaco Boreal,Chaco Boreal,-60,-23
1928,3187,Bulgaria-Greece Border,Midpoint of shared (national) border,24.8234,41.4042
1929,41,"Harbin, China","Harbin, China",126.535,45.8038
1929,1170,Honduras-Nicaragua Border,Midpoint of shared (national) border,-85.4934,14.082
1929,2316,"Isla Margarita, Paraguay","Isla Margarita, Paraguay",-57.8897,-21.695
1929,3188,Bulgaria-Yugoslavia Border,Midpoint of shared (national) border,22.5318,42.8794
1930,2133,Rio Paraguay,"Asuncion, Paraguay",-57.5759,-25.2637
1931,129,"Harbin, China","Harbin, China",126.535,45.8038
1931,407,"Wal Wal, Chad","Wal Wal, Chad",14.1,14.36
1931,1027,Chaco Boreal,Chaco Boreal,-60,-23
1931,1127,Saudi Arabia-Yemen Border,Midpoint of shared (national) border,44.5422,17.3755
1931,1128,"Najran, Saudi Arabia","Najran, Saudi Arabia",44.2289,17.5656
1931,3186,Bulgaria-Greece Border,Midpoint of shared (national) border,24.8234,41.4042
1932,178,"Harbin, China","Harbin, China",126.535,45.8038
1932,248,Manchuria,Manchuria,125.82,46.54
1932,1139,"Leticia, Colombia","Leticia, Colombia",-69.9359,-4.20317
1932,1151,Rio Zarumilla,Rio Zarumilla,-80.2307,-3.49514
1932,1733,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994
1932,2050,Brazil-Colombia-Peru Border,Intersection of shared (national) border,-69.9569,-4.23687
1933,1129,Saudi Arabia-Yemen Border,Midpoint of shared (national) border,44.5422,17.3755
1933,1677,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136
1933,2211,China (Inner Mongolia Autonomous Region [ADM1]),Centroid of ADM1,113.914,44.0864
1933,3160,Gengan River,Gengan River,59.2167,28.75
1933,3655,China (Xinjiang [ADM1]),Centroid of ADM1,85.2036,41.112
1934,67,Czechoslovakia-Germany Border,Midpoint of shared (national) border,12.6784,50.4139
1934,111,"Walwal, Abys","Walwal, Abys",45.4,7.05
1934,139,"China (Hebei [ADM1], Inner Mongolia Autonomous Prefecture [ADM1], and Liaoning [ADM1])",Centroid of > ADM1,115.008,43.2777
1934,1141,Peru (Mariscal Ramon Castilla [ADM2]),Centroid of ADM2,-71.7389,-3.88895
1934,1152,Rio Zarumilla,Rio Zarumilla,-80.2307,-3.49514
1934,2103,Iran-Iraq Border,Midpoint of shared (national) border,45.6418,33.7638
1934,2995,"Vladivostok, Russia","Vladivostok, Russia",131.887,43.1198
1934,3157,Turkey Territorial Waters (Mediterranean),Centroid of territorial waters,32.8805,35.9495
1934,3159,Afghanistan-Iran Border,Midpoint of shared (national) border,60.7024,32.6938
1935,182,"Khalkhgol, Mongolia","Khalkhgol, Mongolia",118.622,47.627
1935,616,"Beijing, China","Beijing, China",116.407,39.9042
1935,1171,El Salvador-Guatemala Border,Midpoint of shared (national) border,-89.709,14.1462
1935,2212,China (Hebei [ADM1]),Centroid of ADM1,116.13,39.5457
1935,3158,Bulgaria-Turkey Border,Midpoint of shared (national) border,27.1055,42.0943
1936,174,"Belgium, France, Germany Border",Point along shared noncontiguous border nearest midpoint of contiguous border including neighbors,6.79061,49.1655
1936,210,"Guadalajara, Spain","Guadalajara, Spain",-3.16017,40.6325
1936,1028,Chaco Boreal,Chaco Boreal,-60,-23
1936,2056,"Madrid, Spain","Madrid, Spain",-3.70379,40.4168
1936,2214,China (Hebei [ADM1]),Centroid of ADM1,116.13,39.5457
1936,2724,Amur River,Midpoint of river,132.169,47.6919
1937,157,"Beijing, China","Beijing, China",116.407,39.9042
1937,336,Algeria Territorial Waters,Centroid of territorial waters,3.21438,36.9211
1937,409,Amur River,Midpoint of river,132.169,47.6919
1937,2125,Rio Zarumilla,Rio Zarumilla,-80.2307,-3.49514
1937,2303,Cape Bizerte,Cape Bizerte,9.86389,37.3333
1937,2304,Gibraltar Territorial Waters,Centroid of territorial waters,-5.2458,36.089
1937,2306,"Tunis, Tunisia","Tunis, Tunisia",10.1815,36.8065
1937,2307,"Barcelona, Spain","Barcelona, Spain",2.1734,41.3851
1937,3189,"Iskenderun, Turkey","Iskenderun, Turkey",36.1756,36.5847
1937,3656,China (Xinjiang [ADM1]),Centroid of ADM1,85.2036,41.112
1938,11,Austria-Germany Border,Midpoint of shared (national) border,9.59932,47.5319
1938,12,Czechoslovakia-Germany Border,Midpoint of shared (national) border,12.6784,50.4139
1938,184,Tumen River,Midpoint of river,129.731,42.494
1938,410,Poland-Russia Border,Midpoint of shared (national) border,23.4462,52.5394
1938,1029,Chaco Boreal,Chaco Boreal,-60,-23
1938,1153,"Oriente Forest, Ecuador","Oriente Forest, Ecuador",-77.0104,-0.734
1938,1243,"Vilnius, Lithuania","Vilnius, Lithuania",25.2797,54.6872
1938,1244,Poland (Cieszyn [ADM2]),Centroid of ADM2,18.8111,49.7317
1938,1245,Hungary-Yugoslavia Border,Midpoint of shared (national) border,18.0074,45.7869
1938,1246,"Bratislava, Slovakia","Bratislava, Slovakia",17.1077,48.1486
1938,3190,"Iskenderun, Turkey","Iskenderun, Turkey",36.1756,36.5847
1939,23,Estonia-Russia Border,Midpoint of shared (national) border,27.508,58.5314
1939,108,"Tirana, Albania","Tirana, Albania",19.8187,41.3275
1939,134,Memel,"Memel, Lithuania",21.1443,55.7033
1939,169,"Warsaw, Poland","Warsaw, Poland",21.0122,52.2297
1939,179,"Helsinki, Finland","Helsinki, Finland",24.9384,60.1699
1939,183,"Khalkhin Gol, Russia","Khalkhin Gol, Russia",44.2097,46.3164
1939,258,East Prussia-Poland Border,Midpoint of shared (national) border,21.627,54.398
1939,503,Latvia-Russia Border,Midpoint of shared (national) border,27.7032,56.9124
1939,1154,"Oriente Forest, Ecuador","Oriente Forest, Ecuador",-77.0104,-0.734
1939,1247,"Khust, Ukraine","Khust, Ukraine",23.2972,48.1735
1939,1684,"Brenner Pass, Italy","Brenner Pass, Italy",11.5061,47.0018
1939,1685,Poland (Eastern [> ADM1]),Centroid of > ADM1,21.6259,51.9092
1939,1686,Germany-Switzerland Border,Midpoint of shared (national) border,9.52686,47.5564
1939,2302,"Prague, Czech Republic","Prague, Czech Republic",14.4378,50.0755
1939,3191,Afghanistan-Russia Border,Midpoint of shared (national) border,68.8599,37.3324
1939,3364,"Khust, Ukraine","Khust, Ukraine",23.2972,48.1735
1939,3700,North Sea,North Sea,3.51563,56.511
1939,3701,Germany-Netherlands Border,Midpoint of shared (national) border,6.75484,52.0252
1939,3703,Germany-Luxembourg Border,Midpoint of shared (national) border,6.49409,49.7018
1939,3705,"Bergen, Norway","Bergen, Norway",5.32205,60.3913
1939,3708,Baltic Sea,Baltic Sea,19.8633,58.488
1939,3709,North Sea,North Sea,3.51563,56.511
1939,3719,Baltic Sea,Baltic Sea,19.8633,58.488
1939,3723,Baltic Sea,Baltic Sea,19.8633,58.488
1939,3724,Mediterranean Sea,Mediterranean Sea,18.048,34.5531
1939,3804,"Gotland, Sweden","Gotland, Sweden",18.4867,57.4684
1939,3809,Baltic Sea,Baltic Sea,19.8633,58.488
1939,3833,Argentina-Uruguay Border (Rio de la Plata [Territorial Waters]),Midpoint of shared (territorial water) border,-56.7412,-35.1945
1939,3834,Argentina-Uruguay Border (Rio de la Plata [Territorial Waters]),Midpoint of shared (territorial water) border,-56.7412,-35.1945
1940,22,"Riga, Latvia","Riga, Latvia",24.1052,56.9496
1940,235,"Mers-el-Kebir, Algeria","Mers-el-Kebir, Algeria",-0.710527,35.7222
1940,339,Pacific Ocean,Pacific Ocean,-124.509,-8.78319
1940,418,Albania-Greece Border,Midpoint of shared (national) border,20.5887,40.0717
1940,504,Lithuania-Russia Border,Midpoint of shared (national) border,23.8981,55.3357
1940,505,Estonia-Russia Border,Midpoint of shared (national) border,27.508,58.5314
1940,613,"Khemmarat, Thailand","Khemmarat, Thailand",105.149,15.9672
1940,1749,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994
1940,1783,Germany-Switzerland Border,Midpoint of shared (national) border,9.52686,47.5564
1940,3704,"Josing Fjord, Norway","Josing Fjord, Norway",6.33467,58.3146
1940,3706,Baltic Sea,Baltic Sea,19.8633,58.488
1940,3707,"Roem Island, Denmark","Roem Island, Denmark",8.51387,55.1389
1940,3713,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994
1940,3718,"Bidasoa, Cuba","Bidasoa, Cuba",-80.6833,22.3167
1940,3720,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994
1940,3800,Switzerland (Geneva [ADM1] and Vaud [ADM1]),Centroid of > ADM1,6.61631,46.5432
1940,3801,Norway-Sweden Border,Midpoint of shared (national) border,14.1403,64.9831
1940,3802,"Bjoernfjell, Norway","Bjoernfjell, Norway",18.0894,68.4472
1940,3807,"Port Said, Egypt","Port Said, Egypt",32.3019,31.2653
1940,3810,Gibraltar,Gibraltar,-5.35358,36.1408
1940,3812,Adriatic Sea,Adriatic Sea,17.2903,41.8551
1940,3814,Italy (Trieste [ADM2])-Yugoslavia,Midpoint of shared (subnational) border,13.8608,45.6897
1940,3820,French Alps,French Alps,6.85275,45.8326
1940,3821,"Bessarabia, Moldova","Bessarabia, Moldova",28.6959,48.0285
1940,3822,Poland (Southeastern [> ADM1]),Centroid of > ADM1,21.8135,50.5308
1940,3823,"Transylvania, Romania","Transylvania, Romania",25.2224,46.1841
1940,3824,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994
1940,3825,"Bucharest, Romania","Bucharest, Romania",26.1025,44.4268
1940,3835,Spain Territorial Waters (Northern),Centroid of territorial waters,-5.67425,43.7252
1940,3836,Gibraltar,Gibraltar,-5.35358,36.1408
1940,3851,Sea of Marmara,Sea of Marmara,28.1123,40.6681
1940,3852,"Haifa, Israel","Haifa, Israel",34.9896,32.794
1940,3853,"Cairo, Egypt","Cairo, Egypt",31.2357,30.0444
1940,3854,"Haifa, Israel","Haifa, Israel",34.9896,32.794
1940,3855,Atlantic Ocean near W Africa and Spain,Atlantic Ocean near W Africa and Spain,-8,36
1940,3856,Bulgaria-Greece Border,Midpoint of shared (national) border,24.8234,41.4042
1940,3860,Hong Kong Island,Hong Kong Island,114.191,22.2588
1940,3861,Czechoslovakia-Hungary Border,Midpoint of shared (national) border,19.5775,48.2207
1940,3862,Mediterranean Sea,Mediterranean Sea,18.048,34.5531
1940,3863,Celtic Sea,Celtic Sea,-8.25025,49.0705
1940,3864,Gibraltar,Gibraltar,-5.35358,36.1408
1941,414,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994
1941,420,"Basra, Iraq","Basra, Iraq",47.7835,30.5081
1941,421,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994
1941,523,"Tehran, Iran","Tehran, Iran",51.389,35.6892
1941,1066,Indian Ocean,Indian Ocean,81.8262,-33.1376
1941,1785,"Bangkok, Thailand","Bangkok, Thailand",100.502,13.7563
1941,3805,Baltic Sea,Baltic Sea,19.8633,58.488
1941,3867,Falkland Islands,Falkland Islands,-59.5236,-51.7963
1941,3868,"Sofia, Bulgaria","Sofia, Bulgaria",23.3219,42.6977
1941,3869,Bulgaria,Centroid of ADM0,25.2315,42.7614
1941,3871,"Sofia, Bulgaria","Sofia, Bulgaria",23.3219,42.6977
1941,3872,Black Sea,Black Sea,34.2993,43.413
1941,3873,South Africa Territorial Waters,Centroid of territorial waters,24.7126,-34.3054
1942,617,"Cairo, Egypt","Cairo, Egypt",31.2357,30.0444
1942,1693,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994
1942,1694,Thailand,Centroid of ADM0,101.017,15.127
1942,2124,"Isla Jambeli, Ecuador","Isla Jambeli, Ecuador",-80.0367,-3.25393
1942,3721,Mediterranean Sea,Mediterranean Sea,18.048,34.5531
1942,3806,Baltic Sea,Baltic Sea,19.8633,58.488
1942,3875,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994
1942,3876,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994
1942,3878,"Bucharest, Romania","Bucharest, Romania",26.1025,44.4268
1942,3881,Caribbean Sea,Caribbean Sea,-74.9676,14.5401
1942,3882,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994
1942,3883,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994
1943,1058,"Bangkok, Thailand","Bangkok, Thailand",100.502,13.7563
1943,1197,China-Mongolia Border,Midpoint of shared (national) border,106.683,42.263
1943,1788,Germany-Switzerland Border,Midpoint of shared (national) border,9.52686,47.5564
1943,1789,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994
1943,2123,"Cerro Verde, Ecuador","Cerro Verde, Ecuador",-80.2011,-4.12459
1943,3263,China (Xinjiang [ADM1]),Centroid of ADM1,85.2036,41.112
1943,3515,"Tehran, Iran","Tehran, Iran",51.389,35.6892
1943,3517,"Bogota, Colombia","Bogota, Colombia",-74.0721,4.71099
1943,3717,Italy (Central [> ADM1]),Centroid of > ADM1,12.3983,42.8294
1943,3722,"Verkon Island, Sweden","Verkon Island, Sweden",14.3,63.1667
1943,3884,Spain (Mediterranean) Territorial Waters,Centroid of Mediterranean territorial waters,-0.86883,37.4628
1943,3885,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994
1943,3887,Caribbean Sea,Caribbean Sea,-74.9676,14.5401
1944,262,Bulgaria,Centroid of ADM0,25.2315,42.7614
1944,614,"Ankara, Turkey","Ankara, Turkey",32.8597,39.9334
1944,1695,"Budapest, Hungary","Budapest, Hungary",19.0402,47.4979
1944,1790,"Budapest, Hungary","Budapest, Hungary",19.0402,47.4979
1944,3264,China (Xinjiang [ADM1]),Centroid of ADM1,85.2036,41.112
1944,3827,"Sofia, Bulgaria","Sofia, Bulgaria",23.3219,42.6977
1945,20,Iran (Northern [> ADM1]),Centroid of > ADM1,52.376,36.1117
1945,252,Russia-Turkey Border,Midpoint of shared (national) border,43.5541,41.0004
1945,2704,"Harbin, China","Harbin, China",126.535,45.8038
1945,2725,Japan-Russia Border (Territorial Waters),Midpoint of shared (territorial water) border,142.007,45.7095
1945,3506,"Brasilia, Brazil","Brasilia, Brazil",-47.8825,-15.7942
1945,3510,"Santiago, Chile","Santiago, Chile",-70.6693,-33.4489
1945,3512,"Tehran, Iran","Tehran, Iran",51.389,35.6892
1946,4,Straits of Corfu,Straits of Corfu,19.97,39.77
1946,603,"Tehran, Iran","Tehran, Iran",51.389,35.6892
1946,1792,Gulf of Thailand,Gulf of Thailand,101.343,9.71212
1946,2371,Albania-Greece Border,Midpoint of shared (national) border,20.5887,40.0717
1946,3192,"Belgrade, Serbia","Belgrade, Serbia",20.4489,44.7866
1946,3193,"Belgrade, Serbia","Belgrade, Serbia",20.4489,44.7866
1947,1077,"Junagadh, India","Junagadh, India",70.4579,21.5222
1947,1238,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874
1947,3265,Mongolia,Centroid of ADM0,103.083,46.8353
1948,26,"Berlin, Germany","Berlin, Germany",13.405,52.52
1948,1042,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683
1948,1284,Albania-Greece Border,Midpoint of shared (national) border,20.5887,40.0717
1948,1793,Israel,Centroid of ADM0,34.9659,31.3585
1948,2020,Nahi Village,"Nahi, Iran",48.55,29.9667
1948,2339,Costa Rica-Nicaragua Border,Midpoint of shared (national) border,-84.6307,11.0617
1948,2340,Costa Rica-Nicaragua Border,Midpoint of shared (national) border,-84.6307,11.0617
1949,604,Yemen (Aden [ADM1]),Centroid of ADM1,44.8088,12.8313
1949,633,Taiwan Strait,Taiwan Strait,119.698,24.6581
1949,634,"Beijing, China","Beijing, China",116.407,39.9042
1949,1112,Dominican Republic-Haiti Border,Midpoint of shared (national) border,-71.7183,18.7414
1949,1285,Albania (Southern [> ADM1]),Centroid of > ADM1,20.1449,40.4629
1949,1286,Romania-Yugoslavia Border,Midpoint of shared (national) border,21.3655,44.8442
1949,1307,Pakistan (Northwest Frontier Province [ADM1]),Centroid of ADM1,72.0483,34.4208
1949,1603,Lebanon-Syria Border,Midpoint of shared (national) border,36.3348,33.9818
1949,2006,Taiwan Strait,Taiwan Strait,119.698,24.6581
1949,2007,Taiwan Strait,Taiwan Strait,119.698,24.6581
1949,2021,China (Yunnan [ADM1]),Centroid of ADM1,101.489,24.976
1949,2186,Ongjin Peninsula,Ongjin Peninsula,125.358,37.936
1949,2328,Albania-Yugoslavia Border,Midpoint of shared (national) border,20.3865,42.3043
1949,2625,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874
1949,3161,Jordan-Syria Border,Midpoint of shared (national) border,37.2119,32.5325
1949,3229,Israel-Jordan Border,Midpoint of shared (national) border,35.4587,31.1106
1949,3386,Negev Desert,Negev Desert,34.8757,30.7141
1949,3445,"Huln, Sweden","Huln, Sweden",14.2833,60.6333
1950,51,"Kaesong, South Korea","Kaesong, South Korea",126.677,37.9558
1950,1006,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683
1950,1306,Pakistan (Northwest Frontier Province [ADM1]),Centroid of ADM1,72.0483,34.4208
1950,1308,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874
1950,1374,Burma (Shan State [ADM1]),Centroid of ADM1,98.1269,21.722
1950,2008,Taiwan Strait,Taiwan Strait,119.698,24.6581
1950,2009,Taiwan Strait,Taiwan Strait,119.698,24.6581
1950,2010,North Vietnam,Centroid of ADM0,105.288,20.594
1950,2088,"Nilang, India","Nilang, India",96.658,28.1761
1950,2122,Cordillera del Condor,Cordillera del Condor,-78.5,-4
1950,3196,Russia,Centroid of ADM0,89.9763,59.2324
1950,3197,Bulgaria-Greece Border,Midpoint of shared (national) border,24.8234,41.4042
1950,3370,"Sinai, Egypt","Sinai, Egypt",34,29.5
1950,3400,Israel-Syria Northern Demilitarized Zone,Centroid of Northern DMZ,35.6701,33.2342
1950,3411,Israel-Syria Southern Demilitarized Zone,Centroid of Southern DMZ,35.6386,32.7364
1950,3427,Israel-Syria Central Demilitarized Zone,Centroid of Central DMZ,35.6206,33.0035
1951,7,Suez Canal,Timsah Lake,32.2909,30.5735
1951,1023,Indonesia (Papua [ADM1] and Irian Jaya Barat [ADM1]),Centroid of > ADM1,137.326,-4.03131
1951,1079,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874
1951,1155,Cordillera del Condor,Cordillera del Condor,-78.5,-4
1951,2052,Taiwan Strait,Taiwan Strait,119.698,24.6581
1951,2180,Afghanistan-Pakistan Border,Midpoint of shared (national) border,69.227,31.8695
1951,2991,Nei Lingding Island,Nei Lingding Island,113.812,22.4055
1951,2992,Taiwan Strait,Taiwan Strait,119.698,24.6581
1951,3199,Iran-Russia (Turkmenistan [ADM1]) Border,Midpoint of shared (subnational) border,57.9681,37.8529
1951,3371,"Sinai, Egypt","Sinai, Egypt",34,29.5
1951,3372,Gaza Strip,Gaza Strip,34.3088,31.3547
1951,3401,Israel-Syria Northern Demilitarized Zone,Centroid of Northern DMZ,35.6701,33.2342
1951,3413,Israel-Syria Southern Demilitarized Zone,Centroid of Southern DMZ,35.6386,32.7364
1952,1097,"Alto Palena, Chile","Palena, Chile",-71.8,-43.6167
1952,1295,Greece,Centroid of ADM0,22.9597,39.0685
1952,1701,"Gotland, Sweden","Gotland, Sweden",18.4867,57.4684
1952,1702,Ecuador Territorial Waters,Centroid of territorial waters,-80.8282,-0.5294
1952,1703,Hungary-Yugoslavia Border,Midpoint of shared (national) border,18.0074,45.7869
1952,2022,Gulf of Thailand,Gulf of Thailand,101.343,9.71212
1952,2372,Albania-Yugoslavia Border,Midpoint of shared (national) border,20.3865,42.3043
1952,2626,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874
1952,2989,Lafsami Island,Lafsami Island,113.83,22.1415
1952,3200,Bulgaria Territorial Waters,Centroid of territorial waters,28.0552,42.644
1952,3202,"Tirana, Albania","Tirana, Albania",19.8187,41.3275
1952,3374,Egypt-Israel Border,Midpoint of shared (national) border,34.6071,30.3694
1952,3414,Israel-Syria Border,Midpoint of shared (national) border,35.6347,32.9833
1953,50,Taiwan Strait,Taiwan Strait,119.698,24.6581
1953,208,Czechoslovakia-West Germany Border,Midpoint of shared (national) border,12.7928,49.3429
